iter	Passed	Remaining
0	172	172085
1	173	86623
2	174	58065
3	175	43805
4	177	35237
5	178	29515
6	179	25452
7	180	22387
8	181	19986
9	182	18075
10	183	16533
11	185	15275
12	186	14185
13	187	13226
14	189	12419
15	190	11725
16	191	11089
17	193	10541
18	194	10032
19	195	9571
20	196	9157
21	197	8780
22	199	8486
23	201	8181
24	202	7897
25	203	7631
26	205	7390
27	206	7160
28	207	6944
29	208	6730
30	209	6538
31	210	6370
32	213	6254
33	214	6107
34	216	5963
35	220	5900
36	221	5768
37	222	5642
38	223	5517
39	225	5400
40	226	5289
41	227	5198
42	230	5128
43	231	5038
44	233	4945
45	234	4861
46	235	4773
47	236	4690
48	237	4611
49	238	4534
50	239	4460
51	240	4391
52	242	4332
53	243	4272
54	245	4218
55	246	4160
56	247	4102
57	248	4043
58	249	3985
59	250	3929
60	251	3878
61	252	3826
62	253	3774
63	254	3725
64	256	3690
65	257	3649
66	259	3610
67	260	3567
68	260	3521
69	261	3478
70	262	3436
71	263	3397
72	264	3358
73	265	3321
74	265	3279
75	266	3242
76	267	3211
77	268	3177
78	270	3150
79	271	3122
80	272	3094
81	273	3064
82	274	3033
83	275	3005
84	276	2977
85	277	2951
86	278	2924
87	279	2896
88	280	2869
89	281	2842
90	281	2816
91	282	2791
92	283	2768
93	285	2749
94	286	2730
95	287	2709
96	288	2689
97	290	2669
98	290	2647
99	291	2627
100	293	2608
101	294	2588
102	294	2567
103	295	2546
104	296	2527
105	296	2504
106	298	2487
107	299	2474
108	301	2462
109	301	2442
110	302	2426
111	304	2411
112	305	2398
113	306	2383
114	307	2368
115	308	2352
116	309	2338
117	310	2324
118	312	2312
119	313	2300
120	314	2283
121	315	2272
122	316	2257
123	317	2244
124	318	2230
125	319	2216
126	320	2203
127	321	2190
128	322	2177
129	323	2164
130	324	2151
131	324	2137
132	326	2125
133	327	2115
134	328	2105
135	329	2094
136	330	2082
137	331	2070
138	332	2058
139	333	2046
140	334	2035
141	334	2024
142	335	2013
143	336	2002
144	337	1991
145	338	1980
146	339	1969
147	340	1959
148	341	1952
149	342	1942
150	344	1934
151	345	1928
152	347	1921
153	348	1912
154	349	1903
155	349	1892
156	350	1884
157	352	1877
158	353	1868
159	354	1860
160	355	1854
161	356	1845
162	358	1842
163	360	1836
164	361	1830
165	362	1822
166	363	1814
167	364	1807
168	365	1799
169	366	1791
170	367	1783
171	368	1775
172	370	1768
173	371	1764
174	372	1758
175	374	1751
176	375	1744
177	376	1737
178	377	1730
179	378	1723
180	379	1717
181	380	1712
182	381	1705
183	382	1698
184	384	1693
185	386	1690
186	387	1685
187	388	1678
188	389	1671
189	390	1664
190	391	1658
191	392	1652
192	393	1646
193	394	1640
194	396	1635
195	397	1629
196	398	1623
197	399	1617
198	400	1613
199	402	1608
200	403	1603
201	404	1598
202	405	1592
203	406	1587
204	407	1581
205	408	1575
206	409	1569
207	410	1564
208	411	1558
209	413	1557
210	415	1552
211	416	1548
212	417	1543
213	418	1537
214	420	1533
215	421	1528
216	422	1522
217	423	1517
218	423	1511
219	424	1506
220	425	1501
221	426	1496
222	430	1501
223	432	1499
224	434	1495
225	435	1491
226	436	1486
227	437	1482
228	439	1478
229	440	1473
230	441	1469
231	443	1467
232	444	1464
233	446	1460
234	447	1455
235	448	1450
236	449	1446
237	450	1441
238	451	1436
239	452	1432
240	453	1427
241	454	1422
242	455	1418
243	457	1418
244	459	1414
245	460	1410
246	461	1406
247	462	1402
248	463	1398
249	464	1393
250	465	1389
251	466	1385
252	467	1380
253	468	1375
254	469	1370
255	469	1365
256	471	1362
257	472	1359
258	474	1356
259	475	1352
260	476	1349
261	477	1345
262	478	1341
263	479	1336
264	480	1332
265	481	1328
266	482	1324
267	483	1320
268	484	1316
269	486	1316
270	488	1314
271	489	1311
272	491	1307
273	492	1303
274	493	1300
275	494	1296
276	495	1292
277	495	1287
278	496	1283
279	497	1279
280	498	1275
281	499	1270
282	500	1267
283	501	1264
284	502	1261
285	504	1258
286	505	1255
287	506	1252
288	507	1248
289	508	1245
290	509	1241
291	510	1237
292	511	1233
293	512	1229
294	513	1226
295	513	1222
296	515	1219
297	516	1216
298	517	1214
299	518	1210
300	520	1207
301	521	1204
302	522	1200
303	522	1197
304	523	1193
305	524	1190
306	525	1186
307	526	1182
308	527	1178
309	528	1175
310	529	1174
311	531	1172
312	533	1170
313	534	1167
314	535	1164
315	536	1160
316	537	1157
317	538	1154
318	538	1150
319	539	1147
320	540	1143
321	545	1149
322	550	1152
323	553	1154
324	556	1154
325	558	1155
326	561	1154
327	562	1152
328	564	1151
329	566	1150
330	568	1148
331	569	1146
332	571	1144
333	572	1142
334	574	1140
335	575	1138
336	577	1135
337	578	1133
338	579	1130
339	580	1127
340	582	1124
341	583	1122
342	586	1122
343	588	1121
344	589	1119
345	590	1116
346	592	1114
347	594	1113
348	595	1110
349	596	1107
350	597	1104
351	598	1101
352	599	1098
353	601	1097
354	602	1094
355	603	1091
356	604	1089
357	605	1085
358	606	1082
359	607	1079
360	608	1076
361	609	1073
362	609	1070
363	610	1067
364	611	1064
365	612	1061
366	613	1058
367	614	1055
368	616	1053
369	617	1051
370	618	1048
371	619	1045
372	620	1042
373	621	1039
374	622	1036
375	623	1033
376	623	1031
377	624	1028
378	625	1025
379	626	1022
380	627	1019
381	629	1018
382	631	1016
383	632	1014
384	633	1011
385	634	1009
386	635	1006
387	636	1003
388	637	1000
389	637	997
390	638	994
391	639	992
392	640	989
393	641	986
394	642	983
395	643	981
396	644	979
397	646	977
398	647	974
399	648	972
400	649	969
401	650	967
402	650	964
403	651	961
404	652	958
405	653	956
406	654	953
407	655	950
408	655	947
409	657	945
410	658	943
411	660	941
412	661	939
413	662	937
414	663	934
415	664	932
416	665	929
417	665	927
418	666	924
419	667	922
420	668	919
421	669	916
422	670	914
423	671	912
424	673	911
425	674	909
426	676	907
427	677	904
428	678	902
429	679	900
430	679	897
431	680	895
432	681	892
433	682	890
434	683	888
435	684	885
436	685	883
437	686	881
438	688	879
439	689	877
440	690	874
441	691	872
442	692	870
443	693	867
444	693	865
445	694	863
446	695	860
447	696	858
448	697	855
449	698	853
450	698	850
451	699	848
452	700	846
453	702	844
454	703	842
455	704	840
456	705	838
457	707	836
458	708	834
459	709	832
460	710	830
461	710	827
462	711	825
463	712	823
464	713	821
465	716	820
466	718	819
467	719	817
468	720	815
469	721	813
470	722	811
471	723	809
472	724	807
473	726	805
474	727	803
475	728	801
476	732	802
477	733	801
478	735	799
479	736	797
480	737	795
481	738	793
482	739	791
483	740	789
484	741	787
485	742	785
486	743	783
487	745	781
488	746	780
489	747	778
490	748	776
491	749	773
492	750	771
493	751	769
494	752	767
495	753	765
496	754	763
497	754	760
498	755	758
499	756	756
500	757	754
501	759	753
502	760	751
503	761	749
504	762	747
505	763	745
506	764	743
507	765	741
508	766	739
509	767	737
510	768	735
511	769	733
512	770	731
513	771	729
514	772	727
515	774	726
516	775	724
517	776	722
518	777	720
519	778	718
520	779	717
521	780	715
522	781	713
523	782	710
524	783	708
525	784	706
526	785	704
527	786	702
528	787	701
529	788	699
530	790	698
531	791	696
532	792	694
533	793	692
534	795	691
535	796	689
536	797	687
537	797	685
538	798	683
539	799	681
540	800	679
541	801	677
542	803	675
543	804	674
544	805	672
545	806	670
546	807	668
547	808	666
548	809	665
549	810	663
550	811	661
551	812	659
552	813	657
553	814	655
554	814	653
555	815	651
556	816	649
557	818	648
558	819	646
559	820	644
560	821	643
561	822	641
562	823	639
563	824	637
564	825	635
565	826	633
566	827	631
567	828	629
568	828	627
569	829	626
570	830	624
571	832	622
572	833	621
573	834	619
574	835	617
575	836	615
576	837	613
577	838	612
578	839	610
579	840	608
580	841	606
581	842	604
582	842	602
583	843	601
584	844	599
585	845	597
586	847	596
587	848	594
588	849	592
589	850	590
590	851	589
591	852	587
592	853	585
593	854	584
594	855	582
595	856	580
596	857	578
597	858	577
598	859	575
599	861	574
600	863	573
601	865	571
602	866	570
603	867	568
604	868	566
605	869	565
606	870	563
607	872	562
608	873	560
609	874	559
610	876	557
611	877	556
612	878	554
613	880	553
614	880	551
615	881	549
616	883	548
617	884	546
618	884	544
619	885	542
620	886	541
621	887	539
622	888	537
623	890	536
624	891	534
625	892	533
626	893	531
627	894	529
628	895	528
629	896	526
630	897	524
631	898	523
632	899	521
633	900	519
634	901	517
635	902	516
636	904	515
637	905	513
638	906	512
639	907	510
640	908	509
641	909	507
642	910	505
643	911	504
